sensor,mean,std,min,max,unique_values
s1,518.67,0.0,518.67,518.67,1
s2,642.6809335466046,0.5000532700606232,641.21,644.53,310
s3,1590.5231186079202,6.131149519690819,1571.04,1616.91,3012
s4,1408.9337816877514,9.000604780543714,1382.25,1441.49,4051
s5,14.620000000000005,5.329199674912836e-15,14.62,14.62,1
s6,21.609803208763513,0.0013889849127073114,21.6,21.61,2
s7,553.367711211284,0.8850922576634073,549.85,556.06,513
s8,2388.0966516407348,0.07098547889092417,2387.9,2388.56,53
s9,9065.242940720276,22.082879525066232,9021.73,9244.59,6403
s10,1.3,0.0,1.3,1.3,1
s11,47.54116814502448,0.2670873986396848,46.85,48.53,159
s12,521.4134700208424,0.7375533922097114,518.69,523.38,427
s13,2388.0961523920314,0.07191891569857814,2387.88,2388.56,56
s14,8143.752722117203,19.076175975953106,8099.94,8293.72,6078
s15,8.442145581891328,0.03750503795196652,8.3249,8.5848,1918
s16,0.030000000000000002,3.469531038354711e-18,0.03,0.03,1
s17,393.2106538703892,1.548763024614299,388.0,400.0,13
s18,2388.0,0.0,2388.0,2388.0,1
s19,100.0,0.0,100.0,100.0,1
s20,38.81627066065629,0.18074642787366083,38.14,39.43,120
s21,23.289705360864716,0.10825087474491234,22.8942,23.6184,4745
